 * Serving Flask app 'task_wizard'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5005
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [03/May/2026 09:01:27] "GET /api/pipeline/stream HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:29] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:29] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:29] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:29] "POST /api/rewrite HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:30] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:30] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:32] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:32] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:35] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:35] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:39] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:39] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:42] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:42] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:45] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:45] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:48] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:48] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:51] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:51] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:54] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:54] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:58] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:01:58] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:01] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:01] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:04] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:04] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:07] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:07] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:10] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:10] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:13] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:13] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:16] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:16] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:19] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:19] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:22] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:22] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:22] "GET /api/detail/DM-0 HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:22] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:22] "GET /api/script HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:22] "GET /api/script/1 HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:22] "GET /api/script HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:22] "GET /api/script/2 HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:22] "GET /api/script/3 HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:22] "GET /api/script/4 HTTP/1.1" 200 -
